k,llh
2,0.0858146157550258
3,0.0858146248648312
4,0.2898043366796
5,0.289803420771025
6,0.324330152527734
7,0.385422613477223
8,1.07585746160988
9,1.10954575951724
10,2.64212146020692
11,0.663167295665112
12,0.484239542083911
13,1.22240494594625
14,4.47982437162593
15,2.08651952360654
16,1.92732280333678
17,1.79986120636877
18,3.06110008207023
19,4.45300975077319
20,0.726682569275225
21,3.26981947923537
22,4.55017846264403
23,2.76335863606681
24,4.6817622472921
25,4.62327947221994
